Date,Rank,Title,Author,Publisher,Description
12-13-1987,10,"THE POLAR EXPRESS, written and illustrated by Ch ris Van Allsburg. (Houghton",,,
12-13-1987,11,BELOVED,Toni Morrison,"Knopf,",
12-13-1987,12,BLUEBEARD,Kurt Vonnegut,"Delacorte,",
12-13-1987,13,RUBBER LEGS AND WHITE TAIL-HAIRS,Patrick F. McManus,"Holt,",
12-13-1987,14,LEGACY,James A. Michener,"Random House,",
12-13-1987,15,MISERY,Stephen King,"Viking,",
08-19-2012,1,GONE GIRL,Gillian Flynn,"Crown,",
08-19-2012,2,ODD APOCALYPSE,Dean Koontz,"Bantam,",
08-19-2012,3,WHERE WE BELONG,Emily Giffin,"St. Martin's,",
08-19-2012,4,FRIENDS FOREVER,Danielle Steel,"Delacorte,",
08-19-2012,5,BLACK LIST,Brad Thor,"Emily Bestler/Atria,",
08-19-2012,6,THE FALLEN ANGEL,Daniel Silva,"Harper/Harper Collins,",
08-19-2012,7,THE LIGHT BETWEEN OCEANS,M. L. Stedman,"Scri bner,",
08-19-2012,8,"I, MICHAEL BENNETT",James Patterson and Michae l Ledwidge,,
08-19-2012,9,SHADOW OF NIGHT,Deborah Harkness,"Viking,",
08-19-2012,10,A DANCE WITH DRAGONS,George R. R. Martin,"B antam,",
08-19-2012,11,BROKEN HARBOR,Tana French,"Viking,",
08-19-2012,12,CREOLE BELLE,James Lee Burke,"Simon & Schus ter,",
08-19-2012,13,HAVEN,Kay Hooper,"Berkley,",The F.B
08-19-2012,14,BACKFIRE,Catherine Coulter,"Putnam,",The F.B
08-19-2012,15,THE SANDCASTLE GIRLS,Chris Bohjalian,"Doubl eday,",
08-19-2012,16,JUDGMENT CALL,J. A. Jance,"Morrow/HarperCol lins,",
12-31-1961,1,FRANNY AND ZOOEY,J.D. Salinger,"Little, Brow n and Company.",
12-31-1961,2,THE AGONY AND THE ECSTASY,Irving Stone,Doub leday and Company.,
12-31-1961,3,TO KILL A MOCKINGBIRD,Harper Lee,J.B. Lippi ncott Company.,
12-31-1961,4,SPIRIT LAKE,MacKinlay Kantor,World Publishi ng.,
12-31-1961,5,LITTLE ME,Patrick Dennis,E.P. Dutton and Co mpany.,
12-31-1961,6,CHAIRMAN OF THE BORED,Edward Streeter,Harpe r and Brothers.,
12-31-1961,7,THE CARPETBAGGERS,Harold Robbins,Trident Pr ess.,
12-31-1961,8,THE JUDAS TREE,A.J. Cronin,"Little, Brown an d Company.",
12-31-1961,9,A PROLOGUE TO LOVE,Taylor Caldwell,Doubleda y and Company.,
12-31-1961,10,DAUGHTER OF SILENCE,Morris L. West,William  Morrow and Company.,
12-31-1961,11,THE INCREDIBLE JOURNEY,Sheila Burnford,"Lit tle, Brown and Company.",
12-31-1961,12,CLOCK WITHOUT HANDS,Carson McCullers,Hough ton Mifflin Company.,
12-31-1961,13,I MET A LADY,Howard Spring,Harper and Brot hers.,
12-31-1961,14,THE EDGE OF SADNESS,Edwin O'Connor,"Little,  Brown and Company.",
12-31-1961,15,A NEW LIFE,Bernard Malamud,"Farrar, Straus and Cudahy.",
12-31-1961,16,MILA 18,Leon Uris,Doubleday and Company.,
02-05-1995,1,THE CELESTINE PROPHECY,James Redfield,"Warne r,",
02-05-1995,2,POLITICALLY CORRECT BEDTIME STORIES,James Fin n Garner,,
02-05-1995,3,KISS THE GIRLS,James Patterson,"Little, Brow n,",
02-05-1995,4,SELF-DEFENSE,Jonathan Kellerman,"Bantam,",
02-05-1995,5,EYES OF A CHILD,Richard North Patterson,"Kno pf,",
02-05-1995,6,ACCEPTABLE RISK,Robin Cook,"Putnam,",
02-05-1995,7,THE BRIDGES OF MADISON COUNTY,Robert James Wa ller,,
02-05-1995,8,THE MURDERERS,W.E.B. Griffin,"Putnam,",
02-05-1995,9,TRUST ME,Jayne Ann Krentz,"Pocket,",
02-05-1995,10,MUTANT MESSAGE DOWN UNDER,Marlo Morgan,"Har perCollins,",
02-05-1995,11,DEBT OF HONOR,Tom Clancy,"Putnam,",Jack Ryan and C.I.A
02-05-1995,12,WINGS,Danielle Steel,"Delacorte,",
02-05-1995,13,THE LOTTERY WINNER,Mary Higgins Clark,"Simo n & Schuster,",
02-05-1995,14,INSOMNIA,Stephen King,"Viking,",
02-05-1995,15,ALWAYS A RECKONING,Jimmy Carter,"Times Book s/Random House,",
10-11-1981,1,THE HOTEL NEW HAMPSHIRE,John Irving,"Dutton/ Henry Robbins,",
10-11-1981,2,CUJO,Stephen King,"Viking,",
10-11-1981,3,NOBLE HOUSE,James Clavell,"Delacorte,",
10-11-1981,4,THE THIRD DEADLY SIN,Lawrence Sanders,"Putna m's,",Chief of Detectives (ret
10-11-1981,5,THE CARDINAL SINS,Andrew M. Greeley,"Warner/ Bernard Geis,",
10-11-1981,6,GORKY PARK,Martin Cruz Smith,"Random House,",
10-11-1981,7,THE LAST DAYS OF AMERICA,Paul Erdman,"Simon & Schuster,",
10-11-1981,8,THE GLITTER DOME,Joseph Wambaugh,"Morrow/Per igord,",
10-11-1981,9,NIGHT PROBE!,Clive Cussler,"Bantam,",
10-11-1981,10,LUCIANO'S LUCK,Jack Higgins,"Stein & Day,",
10-11-1981,11,BREAD UPON THE WATERS,Irwin Shaw,"Delacorte ,",
10-11-1981,12,"GOODBYE, JANETTE",Harold Robbins,"Simon & Sc huster,",
10-11-1981,13,FALSE WITNESS,Dorothy Uhnak,"Simon & Schust er,",
10-11-1981,14,THE LEGACY,Howard Fast,"Houghton Mifflin,",
10-11-1981,15,GOD EMPEROR OF DUNE,Frank Herbert,"Putnam's ,",
12-24-1989,1,THE DARK HALF,Stephen King,"Viking,",
12-24-1989,2,DADDY,Danielle Steel,"Delacorte,",
12-24-1989,3,CARIBBEAN,James A. Michener,"Random House,",
12-24-1989,4,CLEAR AND PRESENT DANGER,Tom Clancy,"Putnam,",The C.I
12-24-1989,5,"THE POLAR EXPRESS, written and illustrated by Chr is Van Allsburg. (Houghton",,,
12-24-1989,6,FOUCAULT'S PENDULUM,Umberto Eco,,
12-24-1989,7,JIMMY STEWART AND HIS POEMS,Jimmy Stewart,"C rown,",
12-24-1989,8,TALES FROM MARGARITAVILLE,Jimmy Buffett,,
12-24-1989,9,STRAIGHT,Dick Francis,"Putnam,",
12-24-1989,10,THE ELEVENTH HOUR,Graeme Base,"Abrams,",
12-24-1989,11,THE PILLARS OF THE EARTH,Ken Follett,"Morro w,",
12-24-1989,12,CALIFORNIA GOLD,John Jakes,"Random House,",
12-24-1989,13,SWAN LAKE,Mark Helprin,"Ariel/Houghton Miff lin,",
12-24-1989,14,SORCERESS OF DARSHIVA,David Eddings,"Del Re y/Ballantine,",
12-24-1989,15,OLDEST LIVING CONFEDERATE WIDOW TELLS ALL,Al lan Gurganus,,
02-01-1943,1,THE VALLEY OF DECISION,Marcia Davenport,Scr ibner.,
02-01-1943,2,THE ROBE,Lloyd C. Douglas,Houghton Mifflin.,
02-01-1943,3,MRS. PARKINGTON,Louis Bromfield,Harper.,
02-01-1943,4,THE SONG OF BERNADETTE,Franz Werfel,Viking.,
02-01-1943,5,THE PRODIGAL WOMEN,Nancy Hale,Scribner.,
01-06-1974,1,BURR,Gore Vidal,Random House.,
01-06-1974,2,THE HONORARY CONSUL,Graham Greene,Simon and Schuster.,
01-06-1974,3,THE HOLLOW HILLS,Mary Stewart,Morrow.,
01-06-1974,4,"COME NINEVEH, COME TYRE",Allen Drury,Doubled ay.,
01-06-1974,5,THEOPHILUS NORTH,Thornton Wilder,Harper and  Row.,
01-06-1974,6,POSTERN OF FATE,Agatha Christie,"Dodd, Mead and Company.",
01-06-1974,7,THE FIRST DEADLY SIN,Lawrence Sanders,Putna m.,
01-06-1974,8,BEULAH LAND,Lonnie Coleman,"Doubleday & Comp any, Inc.",
01-06-1974,9,THE SALAMANDER,Morris L. West,Morrow.,
01-06-1974,10,"WORLD WITHOUT END, AMEN",Jimmy Breslin,Viki ng.,
02-15-1943,1,THE VALLEY OF DECISION,Marcia Davenport,Scr ibner.,
02-15-1943,2,THE ROBE,Lloyd C. Douglas,Houghton Mifflin.,
02-15-1943,3,MRS. PARKINGTON,Louis Bromfield,Harper.,
02-15-1943,4,THE PRODIGAL WOMEN,Nancy Hale,Scribner.,
02-15-1943,5,THE SONG OF BERNADETTE,Franz Werfel,Viking.,
06-12-2022,1,NIGHTWORK,Nora Roberts,St. Martin's.,
06-12-2022,2,THE SUMMER PLACE,Jennifer Weiner,Atria.,
06-12-2022,3,22 SECONDS,James Patterson and Maxine Paetro,"Little, Brown.",
06-12-2022,4,DREAM TOWN,David Baldacci,Grand Central.,
06-12-2022,5,CLIVE CUSSLER'S DARK VECTOR,Graham Brown,Pu tnam.,
06-12-2022,6,THIS TIME TOMORROW,Emma Straub,Riverhead.,
06-12-2022,7,"RUN, ROSE, RUN",Dolly Parton and James Patters on,"Little, Brown.",
06-12-2022,8,IN THE BLOOD,Jack Carr,Atria/Emily Bestler.,The fifth book in the Terminal List series. James Reece goes after the killer of a  Mossad operative attached to the C
06-12-2022,9,TWO NIGHTS IN LISBON,Chris Pavone,MCD.,
06-12-2022,10,THE MIDNIGHT LIBRARY,Matt Haig,Viking.,
06-12-2022,11,THE PARIS APARTMENT,Lucy Foley,Morrow.,
06-12-2022,12,THE LAST THING HE TOLD ME,Laura Dave,Simon  & Schuster.,
06-12-2022,13,EITHER/OR,Elif Batuman,Penguin Press.,
06-12-2022,14,BOOK OF NIGHT,Holly Black,Tor.,
06-12-2022,15,THE HOMEWRECKERS,Mary Kay Andrews,St. Mart in's.,
12-30-1940,1,OLIVER WISWELL,Kenneth Roberts,"Doubleday, D oran.",
12-30-1940,2,FOR WHOM THE BELL TOLLS,Ernest Hemingway,Sc ribner.,
12-30-1940,3,SAPPHIRA AND THE SLAVE GIRL,Willa Cather,Vi king.,
12-30-1940,4,THE FAMILY,Nina Fedorova,"Little, Brown.",
12-30-1940,5,MRS. MINIVER,Jan Struther,"Harcourt, Brace.",
12-30-1940,6,THE VOYAGE,Charles Morgan,Macmillan.,
02-08-2015,1,THE GIRL ON THE TRAIN,Paula Hawkins,Riverhe ad.,
02-08-2015,2,ALL THE LIGHT WE CANNOT SEE,Anthony Doerr,S cribner.,
02-08-2015,3,SAINT ODD,Dean Koontz,Bantam.,
02-08-2015,4,FIRST FROST,Sarah Addison Allen,St. Martin' s.,"When a stranger shows up in Bascom, N"
02-08-2015,5,BURNED,Karen Marie Moning,Delacorte.,
02-08-2015,6,GRAY MOUNTAIN,John Grisham,Doubleday.,
02-08-2015,7,THE BOSTON GIRL,Anita Diamant,Scribner.,
02-08-2015,8,HOPE TO DIE,James Patterson,"Little, Brown.",
02-08-2015,9,THE ESCAPE,David Baldacci,Grand Central.,
02-08-2015,10,BIG LITTLE LIES,Liane Moriarty,Amy Einhorn /Putnam.,
02-08-2015,11,THE FIRST BAD MAN,Miranda July,Scribner.,
02-08-2015,12,COLD COLD HEART,Tami Hoag,Dutton.,
02-08-2015,13,INSATIABLE APPETITES,Stuart Woods,Putnam.,
02-08-2015,14,STATION ELEVEN,Emily St. John Mandel,Knopf .,
02-08-2015,15,THE INVENTION OF WINGS,Sue Monk Kidd,Vikin g.,
02-08-2015,16,REDEPLOYMENT,Phil Klay,Penguin Press.,
12-11-2016,1,CROSS THE LINE,James Patterson,"Little, Brow n.",
12-11-2016,2,THE WHISTLER,John Grisham,Doubleday.,
12-11-2016,3,TURBO TWENTY-THREE,Janet Evanovich,Bantam.,
12-11-2016,4,TWO BY TWO,Nicholas Sparks,Grand Central.,
12-11-2016,5,NO MAN'S LAND,David Baldacci,Grand Central.,
12-11-2016,6,NIGHT SCHOOL,Lee Child,Delacorte.,"Jack Rea cher, still in the Army, becomes involved in an investigation with elite age nts from the F.B.I. and C"
12-11-2016,7,SMALL GREAT THINGS,Jodi Picoult,Ballantine.,
12-11-2016,8,THE WRONG SIDE OF GOODBYE,Michael Connelly,"Little, Brown.",
12-11-2016,9,ODESSA SEA,Clive Cussler and Dirk Cussler,P utnam.,
12-11-2016,10,THE CHEMIST,Stephanie Meyer,"Little, Brown.",
12-11-2016,11,MOONGLOW,Michael Chabon,Harper/HarperColli ns.,
12-11-2016,12,CHAOS,Patricia Cornwell,Morrow.,
12-11-2016,13,THE UNDERGROUND RAILROAD,Colson Whitehead,Doubleday.,
12-11-2016,14,SWING TIME,Zadie Smith,Penguin Press.,
12-11-2016,15,THE SLEEPING BEAUTY KILLER,Mary Higgins Clar k and Alafair Burke,,
12-11-2016,16,THE MISTLETOE SECRET,Richard Paul Evans,Si mon & Schuster.,
01-23-1933,1,THE LAST ADAM,James G. Cozzens,"Harcourt, Br ace.",
01-23-1933,2,THE KENNEL MURDER CASE,S. S. Van Dine,Scrib ner.,
01-23-1933,3,NEVER ASK THE END,Isabel Paterson,Morrow.,
12-04-1939,1,KITTY FOYLE,Christopher Morley,Lippincott.,
12-04-1939,2,THE NAZARENE,Sholem Asch,Putnam.,
12-04-1939,3,MOMENT IN PEKING,Lin Yutang,John Day.,
12-04-1939,4,ESCAPE,Ethel Vance,"Little, Brown.",
12-04-1939,5,CHRISTMAS HOLIDAY,W. Somerset Maugham,"Doubl eday, Doran.",
12-04-1939,6,THE GRAPES OF WRATH,John Steinbeck,Viking.,
08-07-1933,1,ANTHONY ADVERSE,Hervey Allen,Farrar & Rineh art.,
08-07-1933,2,ALL MEN ARE ENEMIES,Richard Aldington,"Doubl eday, Doran.",
08-07-1933,3,STRANGER'S RETURN,Phil Stong,"Harcourt, Brac e.",
11-19-1944,1,FOREVER AMBER,Kathleen Winsor,Macmillan.,
11-19-1944,2,GREEN DOLPHIN STREET,Elizabeth Goudge,Cowar d-McCann.,
11-19-1944,3,LEAVE HER TO HEAVEN,Ben Ames Williams,Hough ton Mifflin.,
11-19-1944,4,EARTH AND HIGH HEAVEN,Gwenthalyn Graham,Lip pincott.,
11-19-1944,5,IMMORTAL WIFE,Irving Stone,"Doubleday, Doran .",
06-24-1979,1,THE MATARESE CIRCLE,Robert Ludlum,"Richard M arek,",
06-24-1979,2,SOPHIE'S CHOICE,William Styron,"Random House ,",
06-24-1979,3,THE THIRD WORLD WAR: August 1985,General Sir John Hackett and Other,,
06-24-1979,4,SHIBUMI,Trevanian,"Crown,",
06-24-1979,5,GOOD AS GOLD,Joseph Heller,"Simon & Schuster ,",
06-24-1979,6,THE ISLAND,Peter Benchley,"Doubleday,",
06-24-1979,7,WAR AND REMEMBRANCE,Herman Wouk,"Little, Bro wn,",
06-24-1979,8,CHESAPEAKE,James A. Michener,"Random House,",
06-24-1979,9,GHOST STORY,Peter Straub,"Coward, McCann & G eogheghan,",
06-24-1979,10,HANTA YO,Ruth Beebe Hill,"Doubleday,",
06-24-1979,11,THERE'S NO SUCH PLACE AS FAR AWAY,Richard Ba ch,,
06-24-1979,12,CLASS REUNION,Rona Jaffe,"Delacorte,",
06-24-1979,13,A NECESSARY WOMAN,Helen Van Slyke,"Doubleda y,",
06-24-1979,14,SS-GB,Len Deighton,"Knopf,",
06-24-1979,15,THE VICAR OF CHRIST,Walter F. Murphy,"Macmi llian,",
04-11-1971,1,QB VII,Leon Uris,"Doubleday & Company, Inc.",
04-11-1971,2,THE PASSIONS OF THE MIND,Irving Stone,Doubl eday and Company.,
04-11-1971,3,THE NEW CENTURIONS,Joseph Wambaugh,"Little, Brown and Company.",
04-11-1971,4,THE THRONE OF SATURN,Allen Drury,Doubleday.,
04-11-1971,5,THE UNDERGROUND MAN,Ross Macdonald,Random H ouse.,
04-11-1971,6,"RICH MAN, POOR MAN",Irwin Shaw,Delacorte Pre ss.,
04-11-1971,7,LOVE STORY,Erich Segal,Harper and Row.,
04-11-1971,8,PASSENGER TO FRANKFURT,Agatha Christie,"Dodd , Mead and Company.",
04-11-1971,9,THE ANTAGONISTS,Ernest K. Gann,Simon and Sc huster.,
04-11-1971,10,SUMMER OF '42,Herman Raucher,G. P. Putnam' s Sons.,
11-23-2003,1,THE DA VINCI CODE,Dan Brown,"Doubleday,",
11-23-2003,2,THE DARK TOWER: Volumes 1-5,Stephen King,,
11-23-2003,3,THE FIVE PEOPLE YOU MEET IN HEAVEN,Mitch Albo m,"Hyperion,",
11-23-2003,4,BLOW FLY,Patricia Cornwell,"Putnam,",
11-23-2003,5,SAFE HARBOUR,Danielle Steel,"Delacorte,",
11-23-2003,6,SHEPHERDS ABIDING,Jan Karon,"Viking,",
11-23-2003,7,BLOOD CANTICLE,Anne Rice,"Knopf,",
11-23-2003,8,BLEACHERS,John Grisham,"Doubleday,",
11-23-2003,9,CRY NO MORE,Linda Howard,"Ballantine,",
11-23-2003,10,THE NEW JEDI ORDER: THE UNIFYING FORCE,James  Luceno,,
11-23-2003,11,LOVE,Toni Morrison,"Knopf,",
11-23-2003,12,SPLIT SECOND,David Baldacci,"Warner,",
11-23-2003,13,THE LONE DROW,R. A. Salvatore,"Wizards of t he Coast,",
11-23-2003,14,THE WEDDING,Nicholas Sparks,"Warner,",
11-23-2003,15,BABYLON RISING,Tim LaHaye and Greg Dinallo,"Bantam,",
11-23-2003,16,THE TRISTAN BETRAYAL,Robert Ludlum,"St. Mar tin's,",
11-04-2012,1,THE PANTHER,Nelson DeMille,"Grand Central,","Posted to Yemen, the anti-terrorist task force agent John Corey and his wife, an F.B"
11-04-2012,2,THE TWELVE,Justin Cronin,"Ballantine,",
11-04-2012,3,THE CASUAL VACANCY,J. K. Rowling,"Little, Br own,",
11-04-2012,4,THE BONE BED,Patricia Cornwell,"Putnam,",
11-04-2012,5,NYPD RED,James Patterson and Marshall Karp,"Little, Brown,",
11-04-2012,6,GONE GIRL,Gillian Flynn,"Crown,",
11-04-2012,7,WINTER OF THE WORLD,Ken Follett,"Dutton,",
11-04-2012,8,THE SECRET KEEPER,Kate Morton,"Atria,",
11-04-2012,9,THE TIME KEEPER,Mitch Albom,"Hyperion,",
11-04-2012,10,MAD RIVER,John Sandford,"Putnam,",
11-04-2012,11,THE WALKING DEAD: THE ROAD TO WOODBURY,Rober t Kirkman,,
11-04-2012,12,A WANTED MAN,Lee Child,"Delacorte,",
11-04-2012,13,SLEEP NO MORE,Iris Johansen,"St. Martin's,",
11-04-2012,14,AN IRISH COUNTRY WEDDING,Patrick Taylor,"Fo rge/Tom Doherty,",
11-04-2012,15,THIS IS HOW YOU LOSE HER,Junot Díaz,"Riverh ead,",
03-09-1986,1,THE BOURNE SUPREMACY,Robert Ludlum,"Random H ouse,",
03-09-1986,2,LIE DOWN WITH LIONS,Ken Follett,"Morrow,",An Englishwoman caught between the C.I.A. and the K.G
03-09-1986,3,LAKE WOBEGON DAYS,Garrison Keillor,"Viking,",
03-09-1986,4,THE MAMMOTH HUNTERS,Jean M. Auel,"Crown,",
03-09-1986,5,CYCLOPS,Clive Cussler,"Simon & Schuster,",
03-09-1986,6,TEXAS,James A. Michener,"Random House,",
03-09-1986,7,THE HANDMAID'S TALE,Margaret Atwood,"Houghto n Mifflin,",
03-09-1986,8,ANGELS OF SEPTEMBER,Andrew M. Greeley,,
03-09-1986,9,THE LEBARON SECRET,Stephen Birmingham,"Littl e, Brown,",
03-09-1986,10,PRIVATE AFFAIRS,Judith Michael,"Poseidon,",
03-09-1986,11,CONTACT,Carl Sagan,"Simon & Schuster,",
03-09-1986,12,STONE 588,Gerald A. Browne,"Arbor House,",
03-09-1986,13,THE ACCIDENTAL TOURIST,Anne Tyler,"Knopf,",
03-09-1986,14,SECRETS,Danielle Steel,"Delacorte,",
03-09-1986,15,THE SEVENTH SECRET,Irving Wallace,"Dutton,",
04-27-1997,1,THE PARTNER,John Grisham,"Doubleday,",
04-27-1997,2,THE RANCH,Danielle Steel,"Delacorte,",
04-27-1997,3,PRETEND YOU DON'T SEE HER,Mary Higgins Clark,,
04-27-1997,4,CHROMOSOME 6,Robin Cook,"Putnam,",
04-27-1997,5,THE NIGHT CREW,John Sandford,"Putnam,",
04-27-1997,6,MCNALLY'S GAMBLE,Lawrence Sanders,"Putnam,",
04-27-1997,7,SANCTUARY,Nora Roberts,"Putnam,",
04-27-1997,8,THE NOTEBOOK,Nicholas Sparks,"Warner,",
04-27-1997,9,3001: THE FINAL ODYSSEY,Arthur C. Clarke,"De l Rey/Ballantine,",
04-27-1997,10,SMALL VICES,Robert B. Parker,"Putnam,",
04-27-1997,11,THE BIG PICTURE,Douglas Kennedy,"Hyperion,",
04-27-1997,12,ACTS OF LOVE,Judith Michael,"Crown,",
04-27-1997,13,PLANET OF TWILIGHT,Barbara Hambly,"Spectra/ Bantam,",
04-27-1997,14,AVENGER,William Shatner with Judith Reeves-S tevens and Garfield Reeves-,,
04-27-1997,15,THE CELESTINE PROPHECY,James Redfield,"Warn er,",
04-27-1997,16,EVENING CLASS,Maeve Binchy,"Delacorte,",
09-08-1957,1,PEYTON PLACE,Grace Metalious,"Simon and Schust er, Inc.",
09-08-1957,2,LETTER FROM PEKING,Pearl S. Buck,John Day Com pany.,
09-08-1957,3,ON THE BEACH,Nevil Shute,William Morrow and C ompany.,
09-08-1957,4,THE WORLD OF SUZIE WONG,Richard Mason,World P ublishing Co.,
09-08-1957,5,COMPULSION,Meyer Levin,Simon and Schuster.,
09-08-1957,6,SILVER SPOON,Edwin Gilbert,Lippencott.,
09-08-1957,7,RALLY ROUND THE FLAG BOYS!,Max Schulman,Doubl eday.,
09-08-1957,8,THE PINK HOTEL,Dorothy Erskine and Patrick Denn is,,
09-08-1957,9,THE SCAPEGOAT,Daphne du Maurier,Doubleday and  Co.,
09-08-1957,10,THE DURABLE FIRE,Howard Swiggett,Houghton Mif flin Co.,
09-08-1957,11,BLUE CAMELLIA,Frances Parkinson Keyes,Julian Messner Inc.,
09-08-1957,12,THE LAST ANGRY MAN,Gerald Green,Charles Scrib ner's Sons.,
09-08-1957,13,LIFE AT HAPPY KNOLL,John P. Marquand,"Little, Brown, and Co.",
09-08-1957,14,BY LOVE POSSESSED,James Gould Cozzens,,
09-08-1957,15,THE WONDERFUL O.,James Thurber,Simon and Schu ster.,
09-08-1957,16,THE HILLS OF BEVERLY,Libbie Block,Doubleday.,
10-27-2013,1,STORM FRONT,John Sandford,Putnam.,
10-27-2013,2,DOCTOR SLEEP,Stephen King,Scribner.,
10-27-2013,3,THE LONGEST RIDE,Nicholas Sparks,Grand Cent ral.,
10-27-2013,4,GONE,James Patterson and Michael Ledwidge,"L ittle, Brown.",
10-27-2013,5,DOG SONGS,Mary Oliver,Penguin.,
10-27-2013,6,STARRY NIGHT,Debbie Macomber,Ballantine.,
10-27-2013,7,THE CIRCLE,Dave Eggers,Knopf/McSweeney's.,
10-27-2013,8,DOING HARD TIME,Stuart Woods,Putnam.,"In th e 27th Stone Barrington novel, the New York lawyer teams up with a rogue fo rmer C.I"
10-27-2013,9,THE SIGNATURE OF ALL THINGS,Elizabeth Gilbert ,Viking.,
10-27-2013,10,THE LOWLAND,Jhumpa Lahiri,Knopf.,
10-27-2013,11,DOOMED,Chuck Palahniuk,Doubleday.,
10-27-2013,12,THE QUEST,Nelson DeMille,Center Street.,
10-27-2013,13,NEVER GO BACK,Lee Child,Delacorte.,
10-27-2013,14,“W” IS FOR WASTED,Sue Grafton,Marian Wood/ Putnam.,
10-27-2013,15,"THE FALL OF THE GOVERNOR, PART 1",Robert Kirk man and Jay,,
09-26-2010,1,FREEDOM,Jonathan Franzen,"Farrar, Straus & G iroux,",
09-26-2010,2,THE GIRL WHO KICKED THE HORNET’S NEST,Stieg L arsson,,
09-26-2010,3,NO MERCY,Sherrilyn Kenyon,"St. Martin’s,",
09-26-2010,4,GETTING TO HAPPY,Terry McMillan,"Viking,",
09-26-2010,5,THE HELP,Kathryn Stockett,"Amy Einhorn/Putna m,",
09-26-2010,6,THE POSTCARD KILLERS,James Patterson and Liza  Marklund,,
09-26-2010,7,LOST EMPIRE,Clive Cussler with Grant Blackwoo d,"Putnam,",
09-26-2010,8,APE HOUSE,Sara Gruen,"Spiegel & Grau,",
09-26-2010,9,ZERO HISTORY,William Gibson,"Putnam,",
09-26-2010,10,DARK PERIL,Christine Feehan,"Berkley,",
09-26-2010,11,THE WAY OF KINGS,Brandon Sanderson,"Tor/Tom  Doherty,",
09-26-2010,12,THE HIGH KING OF MONTIVAL,S. M. Stirling,"R oc,",
09-26-2010,13,SPIDER BONES,Kathy Reichs,"Scribner,",
09-26-2010,14,STAR ISLAND,Carl Hiaasen,"Knopf,",
09-26-2010,15,THE COBRA,Frederick Forsyth,"Putnam,",A former C.I
07-20-1969,1,THE LOVE MACHINE,Jacqueline Susann,Simon an d Schuster.,
07-20-1969,2,PORTNOY'S COMPLAINT,Philip Roth,Random Hous e.,
07-20-1969,3,THE GODFATHER,Mario Puzo,G.P. Putnam's Sons .,
07-20-1969,4,"ADA, OR ARDOR: A FAMILY CHRONICLE",Vladimir Na bokov,McGraw-Hill.,
07-20-1969,5,THE ANDROMEDA STRAIN,Michael Crichton,Alfre d A. Knopf.,
07-20-1969,6,THE PRETENDERS,Gladys Rockmore Davis,Signet .,
07-20-1969,7,SLAUGHTERHOUSE FIVE,Kurt Vonnegut,Delacorte  Press.,
07-20-1969,8,EXCEPT FOR ME AND THEE,Jessamyn West,"Harcou rt, Brace and World.",
07-20-1969,9,THE GOODBYE LOOK,Ross MacDonald,Alfred A. K nopf.,
07-20-1969,10,NEW MOON RISING,Eugenia Price,J.B. Lippinc ott Company.,
02-22-1937,1,DRUMS ALONG THE MOHAWK,Walter D. Edmonds,"Li ttle, Brown.",
02-22-1937,2,GONE WITH THE WIND,Margaret Mitchell,Macmil lan.,
02-22-1937,3,THE LATE GEORGE APLEY,John P. Marquand,"Litt le, Brown.",
02-22-1937,4,CITIES OF REFUGE,Phillip Gibbs,"Doubleday, D oran.",
02-22-1937,5,THE STREET OF THE FISHING CAT,Jolan Foldes,Farrar & Rinehart.,
02-22-1937,6,THE SISTERS,Myron Brinig,Farrar & Rinehart.,
02-22-1937,7,YANG AND YIN,Alice Tisdale Hobart,Bobbs-Mer rill.,
02-22-1937,8,OF LENA GEYER,Marcia Davenport,Scribner.,
05-31-2009,1,WICKED PREY,John Sandford,"Putnam,",
05-31-2009,2,CEMETERY DANCE,Douglas Preston and Lincoln Ch ild,,
05-31-2009,3,DEAD AND GONE,Charlaine Harris,"Ace,",
05-31-2009,4,THE 8TH CONFESSION,James Patterson and Maxine  Paetro,,
05-31-2009,5,FIRST FAMILY,David Baldacci,"Grand Central,","Former Secret Service agents, now P"
05-31-2009,6,PYGMY,Chuck Palahniuk,"Doubleday,",
05-31-2009,7,THE HOST,Stephenie Meyer,"Little, Brown,",
05-31-2009,8,TEA TIME FOR THE TRADITIONALLY BUILT,Alexande r McCall Smith,,
05-31-2009,9,ASSEGAI,Wilbur Smith,"Thomas Dunne/St. Marti n’s,",
05-31-2009,10,THE LAST CHILD,John Hart,"Minotaur,",
05-31-2009,11,JUST TAKE MY HEART,Mary Higgins Clark,"Simo n & Schuster,",
05-31-2009,12,SUMMER ON BLOSSOM STREET,Debbie Macomber,"M ira,",
05-31-2009,13,ROAD DOGS,Elmore Leonard,"William Morrow,",
05-31-2009,14,LOVER AVENGED,J. R. Ward,"New American Libr ary,",
05-31-2009,15,LOITERING WITH INTENT,Stuart Woods,"Putnam,",
05-03-1937,1,THE YEARS,Virginia Woolf,"Harcourt, Brace.",
05-03-1937,2,THEATRE,Somerset Maugham,"Doubleday, Doran.",
05-03-1937,3,GONE WITH THE WIND,Margaret Mitchell,Macmil lan.,
05-03-1937,4,WE ARE NOT ALONE,James Hilton,"Little, Brown .",
05-03-1937,5,OF MICE AND MEN,John Steinbeck,"Covici, Frie de.",
05-03-1937,6,PARADISE,Esther Forbes,"Harcourt, Brace.",
05-03-1937,7,THE SISTERS,Myron Brinig,Farrar & Rinehart.,
