Author,Number of List Appearances - Author,Genre
Andrea Leininger and Bruce Lei ninger with Ken Gross,1,Non-fiction
Andrew A. Roo ney,11,Non-fiction
Andrew A. Roon ey,35,Non-fiction
Andrew A. Rooney,68,Non-fiction
Andrew Bacevich,10,Non-fiction
Andrew Breitbart,1,Non-fiction
Andrew Breitbart and Mark Ebner,1,Non-fiction
Andrew Bridge,4,Non-fiction
Andrew C. McCarthy,1,Non-fiction
Andrew Cuomo,2,Non-fiction
Andrew Davidson,3,Fiction
Andrew G. McCabe,4,Non-fiction
Andrew Gross,4,Fiction
Andrew Hacker,7,Non-fiction
Andrew Lloyd Webber,1,Non-fiction
Andrew Lytle,3,Fiction
Andrew M. Greeley,93,Fiction
Andrew McCarthy,3,Non-fiction
Andrew Morton,36,Non-fiction
Andrew P. Napol itano,2,Non-fiction
Andrew Rober ts,5,Non-fiction
Andrew Robert s,4,Non-fiction
Andrew Ross Sorkin,11,Non-fiction
Andrew Sean Greer,1,Fiction
Andrew Solomon,10,Non-fiction
Andrew Tobias,15,Non-fiction
Andrew Tully,22,Non-fiction
Andrew Turnbull,30,Non-fiction
Andrew Weil,23,Non-fiction
Andrew Weissmann,1,Non-fiction
Andrew Young,6,Non-fiction
André Aciman,1,Fiction
André Leon Talley,2,Non-fiction
Andy Andrews,4,Fiction
Andy Borowitz,2,Non-fiction
Andy Cohen,19,Non-fiction
Andy Greene,2,Non-fiction
Andy Ngo,4,Non-fiction
Andy Rooney,5,Non-fiction
Andy Weir,30,Fiction
Angela Duckworth,26,Non-fiction
Angela Mackail Thirkell,6,Fiction
Angela Mackail Thirkell ,1,Fiction
Angela Thirkell,29,Fiction
Angie Kim,1,Fiction
Angus Kress Gillespie,4,Non-fiction
Angus Wilson,23,Fiction
Ani DiFranco ,1,Non-fiction
Anita Brookner,9,Fiction
Anita Diamant,12,Fiction
Anita Leslie,4,Non-fiction
Anita Loos,1,Fiction
Anita Shreve,43,Fiction
Ann,4,Non-fiction
Ann B. Ross,1,Fiction
Ann Brashare s,2,Fiction
Ann Brashares,3,Fiction
Ann Bridge,41,Fiction
Ann C oulter,4,Non-fiction
Ann Cleeves,4,Fiction
Ann Co ulter,12,Non-fiction
Ann Coulter,68,Non-fiction
Ann H. Coulter,7,Non-fiction
Ann Hellesbusch Hebson,1,Fiction
Ann Land ers,10,Non-fiction
Ann Lande rs,1,Non-fiction
Ann Landers,1,Non-fiction
Ann Liang,1,Fiction
Ann Napolitano,30,Fiction
Ann Packer,12,Fiction
Ann Patchett,100,Fiction
Ann Petry,5,Fiction
Ann Romney,2,Non-fiction
Ann Rule,23,Non-fiction
Ann e Rice,1,Fiction
Ann-Margret with Todd G old,1,Non-fiction
Ann-Margret with Todd Gold,3,Non-fiction
Anna Chennault,7,Non-fiction
Anna Kendrick,3,Non-fiction
Anna Lembke,2,Non-fiction
Anna Marie Tendler,1,Non-fiction
Anna North,2,Fiction
Anna Pasternak,1,Non-fiction
Anna Quindle n,2,Non-fiction
Anna Quindlen,87,Fiction
Anna Quindlen ,4,Non-fiction
Anna Seghers,6,Fiction
Anna Wiener,1,Non-fiction
Anne  Rice,1,Fiction
Anne Applebaum,5,Non-fiction
Anne Bird,6,Non-fiction
Anne Bishop,2,Fiction
Anne Case and,1,Non-fiction
Anne Edwards,20,Non-fiction
Anne Folsom and He len Ferril,1,Non-fiction
Anne Fortier,1,Fiction
Anne Fr ank,1,Non-fiction
Anne Fra nk,4,Non-fiction
Anne Frank ,18,Non-fiction
Anne Frank. Edited  by Otto H. Frank and,6,Non-fiction
Anne Frank. Edited by Otto H. Frank and,3,Non-fiction
Anne Geddes,13,Non-fiction
Anne Geddes and Celine Dion,6,Non-fiction
Anne Glenconner,2,Non-fiction
Anne Goodwin Winslow,2,Fiction
Anne Heche,2,Non-fiction
Anne Hillerman,9,Fiction
Anne Lamott,59,Non-fiction
Anne Lamott with Sam L amott,1,Non-fiction
Anne Lindbergh,20,Non-fiction
Anne McCaffrey,54,Fiction
Anne McCaffrey and Todd McCaff rey,1,Fiction
Anne Morrow Lindber gh,14,Non-fiction
Anne Morrow Lindberg ,17,Non-fiction
Anne Morrow Lindbergh,158,Non-fiction
Anne Morrow Lindbergh ,8,Non-fiction
Anne Parrish,3,Fiction
Anne Perry,11,Fiction
Anne Rice,222,Fiction
Anne Rivers Siddons,85,Fiction
Anne Sebba,1,Non-fiction
Anne Tolstoi Wallach,3,Fiction
Anne Tyler,163,Fiction
Anne Tyler ,12,Fiction
Anne Wilson S chaef,1,Non-fiction
Annemarie Selinko,55,Fiction
